author,dates,likes,Comments
@najmatulfaizah2801,2024-07-13T22:30:56Z,0,"Acara seperti ini patut di lestarikan 
Untuk menambah pengetahuan ❤"
@hakimutara1651,2024-07-13T21:29:37Z,0,Mahasiswa Genre IPS menangis melihat ini
@haikaltaktikal6223,2024-07-13T20:01:52Z,0,Yesaya sombong kwkkw keren
@febbyaryntii,2024-07-13T19:52:14Z,0,unsurya ga ada nih
@Geo-fb1xt,2024-07-13T19:43:35Z,1,"Sangat menghibur kemiskinan dan kebodohanku😂 btw plissss tayangin ditv nasional udah muak sama cinta""an dan gosip"
@akrambahar1,2024-07-13T19:21:05Z,0,Salah fokus. Siapa ya pengisi suara Aurora?😅
@Lestari666,2024-07-13T19:11:55Z,0,Menciptakan Jerome polin2 yg lain 🫵🏾🫵🏾
@ayyabagja,2024-07-13T18:56:02Z,0,Tayangan yang bagus buat generasi anak muda Semangat anak muda bangun bangsa dan berbudaya ❤
@neyshakhoirunisa7140,2024-07-13T18:23:15Z,0,Nonton kaya gini seru tapi ikut deg deg an😂
@bayuherly8396,2024-07-13T17:41:54Z,0,"Brownis kalo bisa mereka yg jadi host,"
@onetedz742,2024-07-13T17:31:46Z,0,Di sni Xaviera belum ada yah
@user-nq8yj4ns2p,2024-07-13T17:29:03Z,0,"Tv2 tyngin Kya gini donk.. biar ank2 bangsa terpacu untuk smngt bljr ,,ngk joget2 tiktok aj"
@sitiuswatunkhasanah3797,2024-07-13T17:28:58Z,1,Kita semua orang hebat ... Tapi tetap ada yg terhebat diantara yg hebat... Semoga itu kita
@nellaaritonang8104,2024-07-13T16:59:35Z,0,Kerennn acaranyaa
@hajjatunkhairah,2024-07-13T16:54:23Z,0,Suka sama acara ini ❤
@triwahono1860,2024-07-13T16:53:18Z,0,MasyaAllah tabarakallah...bukan siapa siapa nya orang orang hebat dan berprestasi ini aja bangga banget liatnya akutuh ....sholawatin anak sendiri...semoga bisa berprestasi dalam hal apapun yang dia sukai asal positif...aamiin
@inaanggraena1707,2024-07-13T16:30:08Z,0,Merasa jadi orang tua yg gagal
@herypurwanto4818,2024-07-13T16:25:57Z,0,🔥🔥🔥🔥🔥
@syifabioderma2200,2024-07-13T16:23:58Z,0,Sekarang jawabannya 4608😊😊
@nurulhusna5250,2024-07-13T16:20:54Z,0,kaya university war ya
@green-oy8yw,2024-07-13T16:20:27Z,2,"Fahmi said ""tentu kita semua orang yang hebat, pada akhirnya akan terpilih orang terhebat diantara org  yg hebat"" 😊"
@syifabioderma2200,2024-07-13T16:13:35Z,0,Jawabannha 1618
@Rohillmuhammad,2024-07-13T16:03:34Z,0,GUA GA IKUT KOMPETISI TAPI PAS DI AKHIR ADA TAMBAHAN 10 DARI UNIVERSITAS LUAR BERASA KETAR KETIR WOII
@findaariani,2024-07-13T15:59:58Z,0,Kalian yang gak masuk tetep hebat kok kakak kakak. Keren
@munawaroh6902,2024-07-13T15:51:36Z,0,Baru nonton. Liat cuplikan2 kayanya seru. Ternyata seru ☺
@RaisyaAzzahwa-ls5lv,2024-07-13T15:45:20Z,1,Suka banget liat kak Jessica
@naufalnhandoko6029,2024-07-13T15:39:41Z,0,Seruuu
@diaryaisya,2024-07-13T15:33:49Z,0,Kok cowonya tp kek ngondek² gt sih gayanya?
@mochlpeach,2024-07-13T15:26:54Z,0,Bangga 😮
@ydreaction5033,2024-07-13T15:20:00Z,1,"Sumpah, lihat soalnya aja aku udah males 😅😂"
@nurulsafitri929,2024-07-13T15:18:38Z,0,Panjang umur orang2 cerdas🎉
@mutiarasilviany7856,2024-07-13T15:10:27Z,0,nangis bgt gue nonton nya otak gue ngebull
@NekoChan-cu2nx,2024-07-13T15:01:57Z,0,"Hebat banget kakak2, aku termotivasi untuk belajar dan lebih giat lagi dalam mengejar ilmu"
@ayayduay,2024-07-13T15:00:39Z,0,Gue yang otak paspasan ngang ngong 😅
@alfizikri7652,2024-07-13T15:00:27Z,0,Sarah cantik bgt
@abdrozak5059,2024-07-13T14:59:19Z,0,Kereeennn👍
@meynasution7681,2024-07-13T14:50:17Z,0,Adik ku ikut ruang guru b alhamdulillah masuk unj..
@srproject1790,2024-07-13T14:49:32Z,0,❤❤❤❤❤
@ViolettaRSN,2024-07-13T14:49:12Z,0,Hahaha yesaya kocak lu 😂😂😂
@david.arl14,2024-07-13T14:36:03Z,1,"gini dong konten berkualitas gak podcast semua isi yt, keren ruang guru"
@NLduadelapan,2024-07-13T14:31:57Z,0,Coba undang wapres 24/29😅😅
@noviyantiyhuhanida2172,2024-07-13T14:31:31Z,0,Nonton kaya gini tuh jiwa ambisnya menyalaaaaaa sayankkkk arghhhh hahaha pedahal gue ngerasa ga pinter si tapi kalo kaya gini tuh bener bener kaya gregetttt mau ikut juga😭🤣   Jujur terharu banget dan merinding si liat orang pinter tuhhhh semoga nanti anak gue rakasya kalo udh besar punya banyak prestasi kaya mereka juga❤❤❤
@ismialfinfaradhillah3221,2024-07-13T14:31:20Z,0,"aku suka acara iniii, semoga kedepannya indonesia menayangkan anak"" muda yang pintar dan berbakat berprestasi tanpa settingan👍🥰🥰"
@aditawindasari6076,2024-07-13T14:30:48Z,0,Keren banget parahhh
@rizqinatsalatsatunhuwaida,2024-07-13T14:29:43Z,0,Asikkk dehhh kaya squid gameee
@aywinneverlose,2024-07-13T14:27:19Z,2,"Sumpah ini acara luar biasa di era tahun di mana anak2 muda di penuhi dengan jedagjedug di sosmed dan sekarang muncul acara begini berasa nonton acara luar negri,nonton nya terbawa situasi ada di posisi mereka dan merasa keren ngeliat mereka menang setiap babak. Padahal cuma penonton doank"
@KasiHuke,2024-07-13T14:26:55Z,0,Aku takut di hujat netizen 😅😅😅😅
@Masahmad21quotes,2024-07-13T14:26:26Z,0,"Alumni krapelin😅,, pasti bisa"
@anismawati7880,2024-07-13T14:16:28Z,1,Doaku sebagai orang tua semoga anakku bisa jadi anak pintar cerdas dan bejo 🤲
@yayahyusnianirmala5017,2024-07-13T14:15:59Z,0,"Kakak kakak yg gak lolos gak usah sedih, kecewa, marah, dan insecure, kalian itu cerdas. Jangankan ortu kalian, bahkan saya yg cuma nonton aja bangga kalian bisa dipanggil ke clash of champions 🥹"
@jessicaputrianggela1386,2024-07-13T14:04:50Z,1,Terbukti UGM selalu kreatif tiap tahun.
@dianrakeizan3426,2024-07-13T13:59:38Z,1,Udh nonton versi Korea nya.  Sekarang versi indonesia nya......😊
@nurdianarahmadani492,2024-07-13T13:58:55Z,0,MasyaAllah. Semoga anakku bisa seperti sandy pinternya.
@yukdolenngalam,2024-07-13T13:57:43Z,0,Pen ikuttttt
@LikaAslikha,2024-07-13T13:55:23Z,0,Yang gak lolos kalean udah luar biasa banget kok udah masuk kesitu ❤ saya merinding menonton nya .  Yeah kalean orang hebat semua ❤
@tiapnmy1042,2024-07-13T13:54:26Z,0,Keren-keren banget semuanya 😍😍😍😍😍
@IhasPapua,2024-07-13T13:53:28Z,0,"Wah keren parah sih ini,lihat yg lolos smpe terharu ..luar biasa🎉"
@ilanalbes8115,2024-07-13T13:48:35Z,0,Keren ruangguru ini jhet
@yusufalqomar824,2024-07-13T13:47:36Z,0,Disruption era of Olimpiade. Luar biasa ruang guru
@megashafara1687,2024-07-13T13:35:49Z,0,Gw klo ikutan beginian baru liat angka nya aja udh klojotan😅😅😅
@Zenxyz09,2024-07-13T13:35:18Z,0,Semoga anak gua bisa pinter kaya mereka🤲
@LikaAslikha,2024-07-13T13:32:36Z,0,Keren banget acaranya .
@rindyani2439,2024-07-13T13:30:37Z,0,The real orang pinter 😂
@saepudinibrahimsyah777,2024-07-13T13:26:03Z,0,Merindiiing
@dkinzzarahmadani,2024-07-13T13:23:03Z,1,"jgn sedih utk yg gk Lolos..
Kalian udah bs ada disni aja udah hebat bgt 👏👏👏"
@dediksetiawan1287,2024-07-13T13:20:16Z,0,Menang kalah kalian udah luar biasa...sumpah ini keren bangettt
@liaaprilianinurisman6552,2024-07-13T13:12:46Z,0,Berandai2 kelak nanti anak ku yg ikut lomba ini.. betapa bangga nya hati ku ini 😢
@NurainiHasibuan-re2dz,2024-07-13T13:09:35Z,0,"Kesini karna liat fiti di toktok😁, seru bangett"
@user-yz3hw6ye4r,2024-07-13T13:06:58Z,0,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
@sitiramlah6226,2024-07-13T13:05:31Z,1,Hebat
@IzdiharHilwatulHusna,2024-07-13T12:57:23Z,0,"Iya deh si paling ""balik yuk"""
@terjemahanal-quran6863,2024-07-13T12:56:20Z,0,"respect editornya, keren"
@fairuznanda8126,2024-07-13T12:52:37Z,0,Kasian sama yang pulang
@Ea_entertaiment,2024-07-13T12:50:10Z,0,"Orang pinter di indonesia emang gak kekurangan... Anak muda indonesia di seluruh dunia banyak berprestasi. 
Wakil presiden kita salah satu nya... 🤮"
@ItsAG22,2024-07-13T12:47:15Z,0,"Orang otak nya pinter banget 😁
Lag gw d suruh mikir malah nyut2an 😂"
@stewart2733,2024-07-13T12:44:40Z,1,SDM tinggi📈
@Bd.Trimarlianah,2024-07-13T12:44:12Z,0,"Tetap semangat, kalian kereen ❤"
@suhaillawatikartika1610,2024-07-13T12:41:49Z,0,finallyyy ada tontonan bermanfaat kayak gini di indo🎉
@sabilanurul358,2024-07-13T12:41:23Z,0,"Ibu-ibu yg pengen anak nya kayak gini, plis jgn cuma sholawat ya bu.. Tapi ajarin anak nya metode belajar yang betul"
@RizkiayuWulandari-ly3ms,2024-07-13T12:38:45Z,0,Aku terkagum kagum
@jsjsj-o6w,2024-07-13T12:36:52Z,0,seharusnya pendiri ruang guru jadi menteri pendidikan bukan bos gojek
@abbaspro631,2024-07-13T12:35:53Z,0,Ayoo.naufal.semangaaaat
@irwandianto4857,2024-07-13T12:29:29Z,0,"kalau pengen menang mudah sebenernya bisa diakali cuma hitung 3 digit depannya aja, 1 digit terakhir tinggal trial and error cuz gak ada batasan salahnya"
@feryprasetyo2833,2024-07-13T12:26:18Z,0,"wow kaget ada yang prestasinya ikut AFMAM (Asean Foundation Model Asean Meeting) plus Japan,

tahun ini Federasi Guru Independen Indonesia (FGII) Jakarta akan mengadakan AFMAM pertama di Indonesia dan Asean untuk level siswa SMA sederajat yang resmi di endors Asean Foundation

Buat siswa  Jakarta dan sekitarnya sampai ketemu di Oktober 2024 (free)"
@elcil,2024-07-13T12:23:14Z,0,Sangat luar biasa😊
@rudiginting3527,2024-07-13T12:18:37Z,1,Next mahasiswa Indonesia berprestasi dari univ luar negri dong min
@verraoktaviani7382,2024-07-13T12:15:12Z,0,"AKHIRNYAA UNIVERSITY WAR VERSI INDONESIAA SUKAA AKUU ❤️❤️

MANA NETIZEN YG SUKA NYINYIRR KONTEN2 YTB G ADA YG BRMUTUU, INI UDH DISUGUHIN YG MERMUTUUU VIRALINLAHHH...."
@haobin452,2024-07-13T12:10:28Z,0,Hoping for Eng Sub HUHUHUHU
@khalisaaghnia5798,2024-07-13T12:07:54Z,0,Tersesat kesini gara2 sliweran di fb....acara berkualitas nih❤
@MuhammadIqbal-ix7oh,2024-07-13T12:05:05Z,2,Aku bisa bayangin usaha keras mereka supaya bisa sepintar ini...🙂
@wahyuf.pribadi9331,2024-07-13T12:03:15Z,0,"Namanya sama kayak game, bisa kena UU HAKI itu"
@febs3501,2024-07-13T11:58:44Z,0,UT mana UT 😂🎉❤
@melisafitriana4049,2024-07-13T11:52:29Z,0,"Keren bgt si ini, bisa biki event kekeren ini. Tapi nge influence artis atau selebgram"
@devipuspitahardwilanni,2024-07-13T11:52:02Z,0,"Si Yesaya terlalu Sumbar, jadi gak msuk² sampe babak ke 3"
@SetyoPratomo-nd7uv,2024-07-13T11:41:48Z,0,Gue kuliah di unair angkatan 2013 IPK 3.90 andai aja kalau ada acara kek gni dulu..greget pengen ikutan..
@yokiyodi2249,2024-07-13T11:37:25Z,0,"Yuk, kita beli chimory. Yg sudah sponsor acara sebagus ini."
@teguhwinarno5853,2024-07-13T11:24:55Z,0,Setelah season 1 segera bikin untuk anak2 SMA sederajat min!
@PhoRin-s2l,2024-07-13T11:14:32Z,0,Acara ini keren bangetttt....viralkan yukk biar ank indonesia smakin smangat bljar..
@nurauliautami8773,2024-07-13T11:07:24Z,0,"Tetap semangat yg tereliminasi, kalian udh mencoba udah keren banget 😊😊"
@nonaiklila,2024-07-13T10:38:25Z,8,"Seorangg ibu dengan anak pertama umur 3.5 tahun dan sedang mengandung anak kedua selalu bersholawat sepanjang nonton ini, semoga akuu dan suami selalu bisa membersamai kesuksesan anak2 ku nanti. 
Semoga Allah jadikan anak2 ku pribadi yang baik, otak yang cerdas, santun, dan peka terhadap sekitar. 

Aamiinn YaAllah 🥰"
@vhinielhebel2550,2024-07-13T10:28:37Z,0,Ini si oliv binus uda elim. Next round napa ada ya.
@hendratandri538,2024-07-13T10:27:24Z,0,RUANG GURU THE BEST. DAN KALIAN YG BERMAIN DI COC BENERAN GENERASI BANGSA YG PATUT DIBANGGAKAN. THANK U BANYAK SDH BIKIN ACARA YG WORTH IT BUAT GENERASI BANGSA
@hamsonnoperfect1615,2024-07-13T10:20:28Z,0,Kelihatan dari muka mukanya orang jenius
@euisagustiani7725,2024-07-13T10:18:37Z,0,Seru acaranya. Ikut dek dekan nya aja.. soalnya otak saya gak sampe sana😂
@callme_Lyn0,2024-07-13T10:15:17Z,0,seru bgt acara ini
@juvicarlina7370,2024-07-13T10:12:08Z,0,Buat juga para ibu rumah tangga wkwkwkwkw seru pasti heboh 🤣🤣
@JulieAimes,2024-07-13T10:06:05Z,0,Itulah kenapa saya ga daftar jadi pengajar di Ruang Guru. Tidak memenuhi kualifikasi 😂
@user-nx7hi2ju4n,2024-07-13T09:59:43Z,0,penonton dikasih soalnya juga dong
@dimasexitlines4191,2024-07-13T09:58:02Z,0,"Kenapa ukuran pintar dan cerdas itu selalu matematika yaaaa
Why always mat"
@elmamaulida4523,2024-07-13T09:53:22Z,0,"Babak pertama : pilih semua jumlah yang sama, lalu di kalikan. Abis itu semua hasil dari perkalian itu di tambah."
@rajokighiievari8948,2024-07-13T09:46:51Z,0,acara bergengsi indonesia dan mendidik... banyak2 acara seperti ini berkualitas dan berbobot. bangga liat nya. merinding liat anak anak berbakat ini. succes dan sehat selalu
@hendrivour,2024-07-13T09:44:51Z,0,gue kalo nongkrong ama mereka bengong doang kali ya🥲
@pipitfitrahamalia,2024-07-13T09:44:49Z,0,Emak2 yg pengen banget anaknya pinter spt peserta2 di game ini
@mulyadin3504,2024-07-13T09:30:01Z,2,"Acaranya berkualitas tinggi nih, auto subscribe"
@excel2064,2024-07-13T09:27:38Z,0,"Semoga di Indo makin banyak acara yg beginian,biar pada termotivasi."
@jacksenchougeforcegaming3669,2024-07-13T09:26:05Z,0,Bahaya emang soang soang yang menjebak
@chintaresmi4297,2024-07-13T09:18:57Z,0,yang kaya gini yang harus jadi acara wajib di televisi biar mendidik dan meningkatkan minat anak” dlm belajar
@user-to9fn1ue2s,2024-07-13T09:16:07Z,1,"Gini nih harusnya viral,bukane malah sekop...sekop viral"
@marinaeka724,2024-07-13T09:13:22Z,0,Marketing ruang guru
@Lvya0_0,2024-07-13T09:08:41Z,0,Sumpah si yesaya ngeselin banget 😭
@08_deviasihw66,2024-07-13T09:05:15Z,0,HARUS NYA ADA KARINA MAOUDY  MIN
@ivanfatoni9621,2024-07-13T09:03:14Z,0,"gara gara emak gw nonton ini disuruh ikut les lagi, padahal dah umur 32 tahun"
@Aidi-vmuiz,2024-07-13T09:02:03Z,0,Orang² pintar ini yg cocok  masuk ke pemerintahaan
@gudangfunfact,2024-07-13T08:55:09Z,0,aku sigma bintang skibidi
@doniprasetyo7521,2024-07-13T08:38:01Z,0,Ini baru menuju indonesia emas 2045
@lindaharumijeon9637,2024-07-13T08:17:27Z,0,Yang td ngomong apa soalnya enak tapi gie gak bisa jawab mungkin elu bukan jalurnya bang
@lailifauzatur,2024-07-13T08:14:26Z,0,Kerennn
@ArbisFoodsfloger,2024-07-13T08:07:45Z,0,Orang² cerdas kini dan masa depan di dunia kerja. harus jadi perintis bukan jadi pegawai seumur hidup. Karna setiap org punya waktu & jalan menuju sukses nya.
@NuraeniSpdeni,2024-07-13T08:06:11Z,0,Walaupun Unhas GK lolos tapi aku bangga sama unhas dan bangga juga sama kak ibnu 😊
@angleangle1528,2024-07-13T07:57:57Z,0,Plissssss ruang guru semoga tetep ada 20 tahun ke depan buat anak saya masuk sekolah 🤣
@FARHANFEBRIAN-yy8zl,2024-07-13T07:54:05Z,2,Vidio ini sangat bermaafaat untuk anak sekolah
@yulitri8824,2024-07-13T07:50:17Z,0,"Allohuma sholli ala sayyidina muhammad , semoga anakku seperti mereka semangatnya ,haus akan ilmunya ,.maasyaalloh"
@rahmawatiriree,2024-07-13T07:50:01Z,2,Berasa liat The Gifted series ✨ semangat adek2 💪🏼💫
@tomoria3588,2024-07-13T07:49:42Z,0,Kalian semua keren dan yang membuat acara ini jauh. Lebih keren tp jauh lebih keren yang tidak pernah membuli acara ini ataupun peserta nya
@FadilllZaid1234,2024-07-13T07:40:39Z,1,no abangku nggak lolos
@DuolingoIndonesia1176,2024-07-13T07:39:25Z,1,Bayangin kalo ada Jerome polin ☠☠☠☠☠☠
@tuningsari5780,2024-07-13T07:39:23Z,1,Nonton ini sambil berdoa semoga anakku bs sprti mrk²..aamiin..
@RahmaYuni-pk3in,2024-07-13T07:38:57Z,0,Ada berapa universitas kaka
@mhddaffakurniawan4581,2024-07-13T07:38:02Z,1,Yg pernah daftar TNI pasti bisa di ronde 1 😂
@sherlypuspitasarimakcer5140,2024-07-13T07:37:57Z,0,Bismillah ya Allah semoga anakku bisa membanggakan seperti yang sedang aku tonton ini🙏
@nurulasyiatulafiati6870,2024-07-13T07:14:23Z,0,Keren banget kalian🔥😍
@semaputt3705,2024-07-13T07:03:47Z,0,Yesaya so ngeremehin sih di ronde 1 KOWKOWKOWKWOKWO
@TheKukuhpratama,2024-07-13T07:02:49Z,0,UMS gak ada ini ?
@bubblywonu,2024-07-13T07:02:35Z,0,baru sadar ada kevin
@puspitaningkomardiputri9476,2024-07-13T07:00:32Z,1,Ikut deg2an eh nontontnya.. anakq pasti suka nih ❤
@nurizzatunnisa3326,2024-07-13T06:59:33Z,0,Ini namanya insyecure😢😅
@mohammadmahfuzd6688,2024-07-13T06:57:47Z,0,Mirip perlombaan di anime class of elite
@zachfiana2886,2024-07-13T06:56:39Z,0,kalo aku disitu udah nangis wkwkwkwkwkkw
@hana-lc7ef,2024-07-13T06:56:15Z,1,"Mereka yg hitung kenapa aku yg mules liatnya 😂, sukses terus anak2 hebat semoga anakku menjadi hebat, pintar, dan sukses suatu saat nanti juga amiinn 🤲"
@devina7515,2024-07-13T06:53:10Z,0,"Flexingnya kayak gini nih yang kusukaa, sampe merindingg WKWKW. Sukses selaluuu Ruang Guru"
@aninurwijayanti5830,2024-07-13T06:47:16Z,0,Q taunya setelah lihat podcast bang densu😂
@NurHasanah-pv1wp,2024-07-13T06:43:33Z,0,"yesaya kliatan yaa sombong ny , remeh bgt sm soal , 😆 , ronde 1 gk lolos"
@faizfathoni6108,2024-07-13T06:42:21Z,0,Kereeen bro semangat
@hasnidar5609,2024-07-13T06:40:05Z,0,Nonton sambil di shalawatin smoga anakku kelak bisa sepintar mereka 🤲🏻🤭 Aamiin
@desidgami,2024-07-13T06:38:54Z,0,Baru kali ini liat acara  yang berkualitas keren kayak variety nya korea dan acaranya ikut bikin deg2an walaupun saya gk ikut ngitung😅
@NurHasanah-pv1wp,2024-07-13T06:35:28Z,1,"Ya Allah Itu cimory minuman ny anak aku stiap hari , semoga aja wija otak ny nular kayak kakak2 ini 😊😇🤩"
@DarinMufida,2024-07-13T06:32:52Z,0,Gaya editannya ala2 acara korea ya
@adri4689,2024-07-13T06:26:49Z,3,"Yang bikin seru itu, mereka yg IPK 4.0 aja bisa kesulitan ada di challenge pertama ini. Di luar prediksi, kirain bakalan langsung lolos tanpa kesulitan. Ternyata ada faktor faktor lain yang membuat kesalahan terjadi."
@rianpurnama4878,2024-07-13T06:18:39Z,0,Maasyaa Alllah
@wawa643,2024-07-13T06:17:27Z,1,mereka yang ngerjain aku yang deg degan
@millyforlife,2024-07-13T06:13:33Z,0,Sandi kok gada di eps ini ya?
@zan9111,2024-07-13T06:01:09Z,1,nonton video ini jadi termotivasi buat belajar dua jam kemudian lanjut rebahan😭
@aangsumantri1313,2024-07-13T06:00:54Z,0,Gooo
@pittakelsey768,2024-07-13T05:54:14Z,0,Mas opang!! So so proud of you!! 👏👏👏👏❤❤❤❤
@deawaode6730,2024-07-13T05:53:15Z,0,"Kenapa takut dihujat,  kalian itu hebat,  luar biasa"
@rusdirusdi5568,2024-07-13T05:45:09Z,0,Dukung acara berkualitas🎉🎉
@AriskaAriska-ny4qo,2024-07-13T05:44:39Z,0,"Nonton kek gini , bisa bisa nya Netesin Air Mata ..
Banyakin program seperti ini pleasa"
@raff.Tempest,2024-07-13T05:44:26Z,1,"Siapa juga bjir yg mau nge hujat orang pinter, gw ajh yg gk pinter belike ☕🗿"
@ItsMeira,2024-07-13T05:43:43Z,0,SUMPAHHHH INI ACARA KEREN BANGETT BANGETTTTTTT 🔥🔥🔥🔥
@sobokertoapik6869,2024-07-13T05:43:22Z,0,Mrinding yang nonton
@iniaenii_id,2024-07-13T05:39:59Z,0,Keren banget ada anak UIN masuk
@neina_mutiar,2024-07-13T05:39:21Z,0,Harus dibanyakin acara positif begini
@iniaenii_id,2024-07-13T05:38:03Z,0,Lagi nunggu trending nih acara
@mega1749,2024-07-13T05:28:25Z,0,"If someone is not good at mathematics, is it considered not smart?"
